"ID";"ARTICLE";"SECTION_NAME";"NAME";"DESCRIPTION";"PRICE";"URL";"SALES";"PREORDER"
"57154";"nsv0041020";"Кухонные плиты";"Кухонная плита CEZARIS ПГ 2150-02";"газовая панель + газовый духовой шкаф, газ-контроль конфорок, поверхность: эмалированная сталь, щиток, управление механическое, без таймера, размеры (ШхГхВ): 51x55x85 см, цвет белый";"531.90 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/cezaris-pg-2150-02/";"N";"N"
"57158";"nsv0041024";"Кухонные плиты";"Кухонная плита GEFEST 1200 С5";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, таймер механический, размеры (ШхГхВ): 60x60x85 см, цвет белый";"751.52 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-1200-s5/";"N";"N"
"57159";"nsv0041025";"Кухонные плиты";"Кухонная плита GEFEST 1200 С6";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, без таймера, размеры (ШхГхВ): 60x60x85 см, цвет белый";"679.52 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-1200-s6/";"N";"N"
"57162";"nsv0041028";"Кухонные плиты";"Кухонная плита GEFEST 1200 С7 К8";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, без таймера, размеры (ШхГхВ): 60x60x85 см, цвет белый";"516.00 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-1200-s7-k8/";"Y";"N"
"57164";"nsv0041031";"Кухонные плиты";"Кухонная плита GEFEST 3200-06";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, без таймера, размеры (ШхГхВ): 50x57x85 см, цвет белый";"617.30 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-3200-06/";"N";"N"
"57165";"nsv0040730";"Кухонные плиты";"Кухонная плита GEFEST 3200-06 К19";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, без таймера, размеры (ШхГхВ): 50x57x85 см, цвет коричневый";"672.22 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-3200-06-k19/";"N";"N"
"57166";"nsv0041033";"Кухонные плиты";"Кухонная плита GEFEST 3200-08";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, щиток, управление механическое, без таймера, размеры (ШхГхВ): 50x57x85 см, цвет белый";"516.06 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-3200-08/";"Y";"N"
"57167";"nsv0040801";"Кухонные плиты";"Кухонная плита GEFEST 3200-08 К19";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, щиток, управление механическое, без таймера, размеры (ШхГхВ): 50x57x85 см, цвет коричневый";"531.87 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-3200-08-k19/";"N";"N"
"57168";"nsv0041034";"Кухонные плиты";"Кухонная плита GEFEST 3200-08 К33";"газовая панель + газовый духовой шкаф, газ-контроль конфорок, поверхность: эмалированная сталь, щиток, управление механическое, без таймера, размеры (ШхГхВ): 50x57x85 см, цвет белый";"624.64 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-3200-08-k33/";"N";"N"
"57169";"nsv0041035";"Кухонные плиты";"Кухонная плита GEFEST 5100-02 0009";"газовая панель + газовый духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, без таймера, размеры (ШхГхВ): 50x58.5x85 см, цвет белый";"786.90 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-5100-02-0009/";"N";"N"
"57173";"nsv0041040";"Кухонные плиты";"Кухонная плита GEFEST 5500-03 0042";"газовая панель + газовый духовой шкаф, газ-контроль конфорок, поверхность: закаленное стекло, управление механическое, таймер электронный, размеры (ШхГхВ): 50x58.5x85 см, цвет белый";"1351.76 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-5500-03-0042/";"N";"N"
"57183";"nsv0040862";"Настольные плиты";"Настольная плита GEFEST ПГ 900";"газовая плита, 4 конфорки, 1700 Вт, 50x52x12.7 см";"187.14 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/nastolnye-plity/gefest-pg-900/";"Y";"N"
"57207";"nsv0041102";"Стиральные машины";"Стиральная машина Indesit EWSD 51031 BY";"автоматическая стиральная машина, загрузка до 5 кг, отжим 1000 об/мин, глубина 42 см, энергопотребление A+, 16 программ";"893.34 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/stiralnye-mashiny/indesit-ewsd-51031-by/";"N";"N"
"57256";"nsv0041294";"Стиральные машины";"Стиральная машина ATLANT СМА 60У1210-А-00";"автоматическая стиральная машина, загрузка до 6 кг, отжим 1200 об/мин, глубина 40.7 см (с люком 48.5 см), энергопотребление A++, защита от протечек, 16 программ";"1028.00 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/stiralnye-mashiny/atlant-sma-60u1210-a-00/";"N";"N"
"57286";"nsv0041371";"Кухонные плиты";"Кухонная плита GEFEST 5102-03 0023";"газовая панель + электрический духовой шкаф, поверхность: эмалированная сталь, крышка из эмалированной стали, управление механическое, таймер механический, размеры (ШхГхВ): 50x58.5x85 см, цвет белый";"1028.17 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-5102-03-0023/";"N";"N"
"57287";"nsv0041343";"Кухонные плиты";"Кухонная плита GEFEST 5140-01 0035";"электрическая панель + электрический духовой шкаф, поверхность: эмалированная сталь, щиток, управление механическое, без таймера, размеры (ШхГхВ): 50x58.5x85 см, цвет белый";"667.29 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kukhonnye-plity/gefest-5140-01-0035/";"N";"N"
"57292";"nsv0041356";"Духовые шкафы";"Электрический духовой шкаф GEFEST 602-01 Н1";"электрический статический, объем 52 л, 3 режима, очистка ручная, проволочные направляющие, энергопотребление B";"672.22 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/dukhovye-shkafy/gefest-602-01-n1/";"N";"N"
"57309";"nsv0040938";"Мультиварки";"Мультиварка Redmond SkyCooker RMC-M224S";"мультиварка, объем 5 л, покрытие чаши антипригарное, мощность 860 Вт, 9 программ, пароварка";"234.36 BYN";"/catalog/tekhnika-dlja-prigotovlenija-pischi/multivarki/redmond-skycooker-rmc-m224s/";"Y";"N"
"57316";"nsv0041010";"Водонагреватели";"Накопительный электрический водонагреватель Regent NTS 80 V";"накопительный, электричество, 80 л, 1.5 кВт, 186 мин, 75.8x45x47 см";"475.71 BYN";"/catalog/klimaticheskaja-tekhnika/vodonagrevateli/regent-nts-80-v/";"Y";"N"
"57324";"nsv0041180";"Холодильники";"Холодильник ATLANT ХМ 4626-109 ND";"полный No Frost, электронное управление, класс A+, полезный объём: 348 л (254 + 94 л), зона свежести, 59.5x66x206.8 см, белый";"1753.31 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/kholodilniki/atlant-khm-4626-109-nd/";"N";"N"
"57334";"nsv0041295";"Стиральные машины";"Стиральная машина ATLANT СМА 60У1214-01";"";"1145.70 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/stiralnye-mashiny/atlant-sma-60u1214-01/";"N";"N"
"57336";"nsv0040718";"Настольные плиты";"Kitfort KT-124";"индукционная плита, 2 конфорки, 1700 Вт, 68x38x7.5 см";"595.00 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/nastolnye-plity/kitfort-kt-124/";"N";"N"
"57339";"nsv0041394";"Стиральные машины";"Стиральная машина ATLANT СМА 60У1213-01";"";"1063.00 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/stiralnye-mashiny/atlant-sma-60u1213-01/";"N";"N"
